Price,Adj Close,Close,High,Low,Open,Volume
Ticker,QUBT,QUBT,QUBT,QUBT,QUBT,QUBT
Datetime,,,,,,
2024-12-11 14:30:00+00:00,6.650100231170654,6.650100231170654,7.360000133514404,6.610000133514404,7.090000152587891,7411528
2024-12-11 14:35:00+00:00,6.280099868774414,6.280099868774414,6.659999847412109,6.199999809265137,6.650899887084961,2418626
2024-12-11 14:40:00+00:00,6.447999954223633,6.447999954223633,6.480000019073486,6.21120023727417,6.28879976272583,1799802
2024-12-11 14:45:00+00:00,6.718900203704834,6.718900203704834,6.735199928283691,6.445000171661377,6.448800086975098,975189
2024-12-11 14:50:00+00:00,6.605000019073486,6.605000019073486,6.739099979400635,6.53000020980835,6.715000152587891,608282
2024-12-11 14:55:00+00:00,6.394999980926514,6.394999980926514,6.610000133514404,6.389999866485596,6.605000019073486,704655
2024-12-11 15:00:00+00:00,6.210000038146973,6.210000038146973,6.400000095367432,6.210000038146973,6.389999866485596,778783
2024-12-11 15:05:00+00:00,6.240099906921387,6.240099906921387,6.25,6.090000152587891,6.210100173950195,1300551
2024-12-11 15:10:00+00:00,6.210000038146973,6.210000038146973,6.309999942779541,6.110000133514404,6.244999885559082,707130
2024-12-11 15:15:00+00:00,6.101200103759766,6.101200103759766,6.25,6.010000228881836,6.210000038146973,940318
2024-12-11 15:20:00+00:00,5.980500221252441,5.980500221252441,6.110000133514404,5.829999923706055,6.110000133514404,1574436
2024-12-11 15:25:00+00:00,6.03000020980835,6.03000020980835,6.119999885559082,5.940000057220459,5.980000019073486,590086
2024-12-11 15:30:00+00:00,6.079100131988525,6.079100131988525,6.150000095367432,6.010000228881836,6.019999980926514,508670
2024-12-11 15:35:00+00:00,6.014999866485596,6.014999866485596,6.099699974060059,5.950099945068359,6.078000068664551,509669
2024-12-11 15:40:00+00:00,6.045000076293945,6.045000076293945,6.050000190734863,5.960100173950195,6.010000228881836,403981
2024-12-11 15:45:00+00:00,6.067200183868408,6.067200183868408,6.099999904632568,6.011199951171875,6.0493998527526855,314006
